# Solvation data file - Sat Oct 02 20:52:34 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_long_list

# Min count, max count, radius

3 37 10.0

ALA

3  -0.239
4  0.012
5  0.143
6  0.217
7  0.122
8  0.126
9  0.123
10 0.104
11 0.161
12 0.219
13 0.257
14 0.293
15 0.300
16 0.308
17 0.246
18 0.193
19 0.152
20 0.072
21 -0.029
22 -0.083
23 -0.136
24 -0.201
25 -0.319
26 -0.347
27 -0.442
28 -0.514
29 -0.615
30 -0.661
31 -0.807
32 -0.788
33 -0.893
34 -1.026
35 -1.235
36 -0.969
37 -1.022

ARG

3  0.316
4  0.086
5  0.399
6  0.243
7  0.123
8  0.074
9  0.003
10 -0.128
11 -0.171
12 -0.294
13 -0.345
14 -0.408
15 -0.429
16 -0.353
17 -0.327
18 -0.272
19 -0.100
20 -0.013
21 0.171
22 0.337
23 0.456
24 0.624
25 0.809
26 0.973
27 1.131
28 1.233
29 1.239
30 1.591
31 1.611
32 1.552
33 2.369
34 2.369	# sparse data
35 2.369	# sparse data
36 2.369	# sparse data
37 2.369	# no data

ASN

3  0.169
4  -0.407
5  -0.729
6  -0.562
7  -0.534
8  -0.424
9  -0.429
10 -0.357
11 -0.348
12 -0.268
13 -0.244
14 -0.207
15 -0.171
16 -0.100
17 -0.029
18 0.032
19 0.135
20 0.263
21 0.318
22 0.388
23 0.439
24 0.475
25 0.560
26 0.508
27 0.510
28 0.494
29 0.417
30 0.564
31 0.377
32 0.496
33 0.538
34 0.665
35 0.669
36 0.669	# sparse data
37 0.669	# sparse data

ASP

3  0.161
4  -0.519
5  -0.696
6  -0.667
7  -0.701
8  -0.644
9  -0.611
10 -0.531
11 -0.519
12 -0.450
13 -0.382
14 -0.294
15 -0.167
16 -0.092
17 0.002
18 0.135
19 0.253
20 0.361
21 0.531
22 0.632
23 0.729
24 0.847
25 0.833
26 0.897
27 0.928
28 0.864
29 0.870
30 0.817
31 0.720
32 0.799
33 0.968
34 0.994
35 0.641
36 0.641	# sparse data
37 0.641	# sparse data

CYS

3  1.577	# sparse data
4  1.577	# sparse data
5  1.577
6  1.763
7  1.637
8  2.001
9  1.748
10 1.596
11 1.388
12 1.217
13 1.089
14 0.889
15 0.673
16 0.452
17 0.265
18 0.162
19 -0.093
